Date,Open,High,Low,Close,Volume,OpenInt
41523 ,33.08,33.08,33.08,33.08,307,0
41526 ,33.537,33.753,33.422,33.555,5850,0
41527 ,33.859,34.191,33.859,33.947,27288,0
41528 ,34.181,34.278,34.181,34.181,615,0
41529 ,34.134,34.151,33.977,34.055,13574,0
41530 ,34.065,34.258,33.987,33.987,56139,0
41533 ,34.474,34.579,34.417,34.436,21936,0
41534 ,34.474,34.513,34.387,34.483,6083,0
41535 ,34.268,35.097,34.268,34.841,34370,0
41536 ,34.939,35.261,34.939,35.261,15707,0
41537 ,34.871,34.929,34.794,34.929,1055,0
41540 ,35.261,35.261,34.9,34.909,3400,0
41541 ,35.003,35.003,34.622,34.788,1476,0
41543 ,34.816,34.816,34.758,34.758,510,0
41547 ,34.593,34.682,34.42,34.449,1913,0
41551 ,34.37,34.758,34.37,34.758,727,0
41554 ,34.554,34.593,34.341,34.37,16274,0
41555 ,34.506,34.583,34.128,34.195,40120,0
41556 ,33.921,34.118,33.901,34.04,17425,0
41557 ,34.39,34.662,34.39,34.662,2722,0
41558 ,34.788,34.933,34.602,34.682,37254,0
41561 ,34.622,34.904,34.622,34.904,14772,0
41562 ,34.702,34.923,34.622,34.622,10389,0
41563 ,34.894,35.235,34.855,35.197,42005,0
41564 ,35.121,35.49,35.121,35.325,3725,0
41565 ,35.919,35.919,35.715,35.84,1434,0
41568 ,35.919,35.959,35.89,35.89,615,0
41569 ,36.113,36.18,36.113,36.113,409,0
41570 ,36.074,36.074,36.074,36.074,573,0
41571 ,36.151,36.151,36.141,36.141,340,0
41572 ,35.939,35.939,35.939,35.939,122,0
41575 ,35.656,36.141,35.656,36.074,9160,0
41576 ,36.065,36.065,35.784,35.88,1689,0
41577 ,35.84,35.87,35.84,35.84,510,0
41579 ,35.345,35.675,35.345,35.665,1823,0
41582 ,35.463,35.463,35.463,35.463,115,0
41584 ,35.48,35.735,35.364,35.735,8052,0
41585 ,35.393,35.393,35.393,35.393,127,0
41586 ,34.943,35.295,34.943,35.168,6083,0
